word	pinyin	rank	doc_freq	level	source
一		1		1	通用规范汉字表_双源转录核对
乙		2		1	通用规范汉字表_双源转录核对
二		3		1	通用规范汉字表_双源转录核对
十		4		1	通用规范汉字表_双源转录核对
丁		5		1	通用规范汉字表_双源转录核对
厂		6		1	通用规范汉字表_双源转录核对
七		7		1	通用规范汉字表_双源转录核对
卜		8		1	通用规范汉字表_双源转录核对
八		9		1	通用规范汉字表_双源转录核对
人		10		1	通用规范汉字表_双源转录核对
入		11		1	通用规范汉字表_双源转录核对
儿		12		1	通用规范汉字表_双源转录核对
匕		13		1	通用规范汉字表_双源转录核对
几		14		1	通用规范汉字表_双源转录核对
九		15		1	通用规范汉字表_双源转录核对
刁		16		1	通用规范汉字表_双源转录核对
了		17		1	通用规范汉字表_双源转录核对
刀		18		1	通用规范汉字表_双源转录核对
力		19		1	通用规范汉字表_双源转录核对
乃		20		1	通用规范汉字表_双源转录核对
又		21		1	通用规范汉字表_双源转录核对
三		22		1	通用规范汉字表_双源转录核对
干		23		1	通用规范汉字表_双源转录核对
于		24		1	通用规范汉字表_双源转录核对
亏		25		1	通用规范汉字表_双源转录核对
工		26		1	通用规范汉字表_双源转录核对
土		27		1	通用规范汉字表_双源转录核对
士		28		1	通用规范汉字表_双源转录核对
才		29		1	通用规范汉字表_双源转录核对
下		30		1	通用规范汉字表_双源转录核对
寸		31		1	通用规范汉字表_双源转录核对
大		32		1	通用规范汉字表_双源转录核对
丈		33		1	通用规范汉字表_双源转录核对
与		34		1	通用规范汉字表_双源转录核对
万		35		1	通用规范汉字表_双源转录核对
上		36		1	通用规范汉字表_双源转录核对
小		37		1	通用规范汉字表_双源转录核对
口		38		1	通用规范汉字表_双源转录核对
山		39		1	通用规范汉字表_双源转录核对
巾		40		1	通用规范汉字表_双源转录核对
千		41		1	通用规范汉字表_双源转录核对
乞		42		1	通用规范汉字表_双源转录核对
川		43		1	通用规范汉字表_双源转录核对
亿		44		1	通用规范汉字表_双源转录核对
个		45		1	通用规范汉字表_双源转录核对
夕		46		1	通用规范汉字表_双源转录核对
久		47		1	通用规范汉字表_双源转录核对
么		48		1	通用规范汉字表_双源转录核对
勺		49		1	通用规范汉字表_双源转录核对
凡		50		1	通用规范汉字表_双源转录核对
丸		51		1	通用规范汉字表_双源转录核对
及		52		1	通用规范汉字表_双源转录核对
广		53		1	通用规范汉字表_双源转录核对
亡		54		1	通用规范汉字表_双源转录核对
门		55		1	通用规范汉字表_双源转录核对
丫		56		1	通用规范汉字表_双源转录核对
义		57		1	通用规范汉字表_双源转录核对
之		58		1	通用规范汉字表_双源转录核对
尸		59		1	通用规范汉字表_双源转录核对
己		60		1	通用规范汉字表_双源转录核对
已		61		1	通用规范汉字表_双源转录核对
巳		62		1	通用规范汉字表_双源转录核对
弓		63		1	通用规范汉字表_双源转录核对
子		64		1	通用规范汉字表_双源转录核对
卫		65		1	通用规范汉字表_双源转录核对
也		66		1	通用规范汉字表_双源转录核对
女		67		1	通用规范汉字表_双源转录核对
刃		68		1	通用规范汉字表_双源转录核对
飞		69		1	通用规范汉字表_双源转录核对
习		70		1	通用规范汉字表_双源转录核对
叉		71		1	通用规范汉字表_双源转录核对
马		72		1	通用规范汉字表_双源转录核对
乡		73		1	通用规范汉字表_双源转录核对
丰		74		1	通用规范汉字表_双源转录核对
王		75		1	通用规范汉字表_双源转录核对
开		76		1	通用规范汉字表_双源转录核对
井		77		1	通用规范汉字表_双源转录核对
天		78		1	通用规范汉字表_双源转录核对
夫		79		1	通用规范汉字表_双源转录核对
元		80		1	通用规范汉字表_双源转录核对
无		81		1	通用规范汉字表_双源转录核对
云		82		1	通用规范汉字表_双源转录核对
专		83		1	通用规范汉字表_双源转录核对
丐		84		1	通用规范汉字表_双源转录核对
扎		85		1	通用规范汉字表_双源转录核对
艺		86		1	通用规范汉字表_双源转录核对
木		87		1	通用规范汉字表_双源转录核对
五		88		1	通用规范汉字表_双源转录核对
支		89		1	通用规范汉字表_双源转录核对
厅		90		1	通用规范汉字表_双源转录核对
不		91		1	通用规范汉字表_双源转录核对
犬		92		1	通用规范汉字表_双源转录核对
太		93		1	通用规范汉字表_双源转录核对
区		94		1	通用规范汉字表_双源转录核对
历		95		1	通用规范汉字表_双源转录核对
歹		96		1	通用规范汉字表_双源转录核对
友		97		1	通用规范汉字表_双源转录核对
尤		98		1	通用规范汉字表_双源转录核对
匹		99		1	通用规范汉字表_双源转录核对
车		100		1	通用规范汉字表_双源转录核对
巨		101		1	通用规范汉字表_双源转录核对
牙		102		1	通用规范汉字表_双源转录核对
屯		103		1	通用规范汉字表_双源转录核对
戈		104		1	通用规范汉字表_双源转录核对
比		105		1	通用规范汉字表_双源转录核对
互		106		1	通用规范汉字表_双源转录核对
切		107		1	通用规范汉字表_双源转录核对
瓦		108		1	通用规范汉字表_双源转录核对
止		109		1	通用规范汉字表_双源转录核对
少		110		1	通用规范汉字表_双源转录核对
曰		111		1	通用规范汉字表_双源转录核对
日		112		1	通用规范汉字表_双源转录核对
中		113		1	通用规范汉字表_双源转录核对
贝		114		1	通用规范汉字表_双源转录核对
冈		115		1	通用规范汉字表_双源转录核对
内		116		1	通用规范汉字表_双源转录核对
水		117		1	通用规范汉字表_双源转录核对
见		118		1	通用规范汉字表_双源转录核对
午		119		1	通用规范汉字表_双源转录核对
牛		120		1	通用规范汉字表_双源转录核对
手		121		1	通用规范汉字表_双源转录核对
气		122		1	通用规范汉字表_双源转录核对
毛		123		1	通用规范汉字表_双源转录核对
壬		124		1	通用规范汉字表_双源转录核对
升		125		1	通用规范汉字表_双源转录核对
夭		126		1	通用规范汉字表_双源转录核对
长		127		1	通用规范汉字表_双源转录核对
仁		128		1	通用规范汉字表_双源转录核对
什		129		1	通用规范汉字表_双源转录核对
片		130		1	通用规范汉字表_双源转录核对
仆		131		1	通用规范汉字表_双源转录核对
化		132		1	通用规范汉字表_双源转录核对
仇		133		1	通用规范汉字表_双源转录核对
币		134		1	通用规范汉字表_双源转录核对
仍		135		1	通用规范汉字表_双源转录核对
仅		136		1	通用规范汉字表_双源转录核对
斤		137		1	通用规范汉字表_双源转录核对
爪		138		1	通用规范汉字表_双源转录核对
反		139		1	通用规范汉字表_双源转录核对
介		140		1	通用规范汉字表_双源转录核对
父		141		1	通用规范汉字表_双源转录核对
从		142		1	通用规范汉字表_双源转录核对
仑		143		1	通用规范汉字表_双源转录核对
今		144		1	通用规范汉字表_双源转录核对
凶		145		1	通用规范汉字表_双源转录核对
分		146		1	通用规范汉字表_双源转录核对
乏		147		1	通用规范汉字表_双源转录核对
公		148		1	通用规范汉字表_双源转录核对
仓		149		1	通用规范汉字表_双源转录核对
月		150		1	通用规范汉字表_双源转录核对
氏		151		1	通用规范汉字表_双源转录核对
勿		152		1	通用规范汉字表_双源转录核对
欠		153		1	通用规范汉字表_双源转录核对
